,Powierzchnia,Piętro,room_count,lat,lng,Ludnosc,age,balkon,taras,Winda,Miejsce_parkingowe,Materiał_budynku,Stan_wykończenia,Rodzaj_zabudowy,price
120,58.0,3.0,3.0,52.1503509,20.7970201,22394.0,13.0,0.0,1.0,0,1,0,0,0,2450.0
121,102.0,2.0,4.0,51.1211068,17.0832878,115516.8,15.0,1.0,0.0,0,1,0,0,0,5300.0
122,27.0,2.0,1.0,54.4122184,18.587631,420796.0,17.0,0.0,0.0,0,1,1,0,0,2200.0
123,30.0,2.0,2.0,53.84344309999999,22.9796023,6906.625,24.0,0.0,0.0,0,0,0,0,0,2400.0
124,40.0,2.0,2.0,54.5670073,18.4962582,9428.0,2.0,0.0,0.0,0,1,1,0,0,2500.0
125,50.2,4.0,2.0,50.0564876,22.0086558,185662.0,14.0,1.0,0.0,1,0,0,0,0,1850.0
126,20.0,0.0,1.0,52.2337067,21.1422902,90327.38888888888,20.0,0.0,0.0,0,1,0,0,0,2400.0
127,57.0,2.0,3.0,52.203088,21.0142354,90327.38888888888,63.0,1.0,0.0,0,1,0,0,0,4000.0
128,43.5,1.0,2.0,54.4956247,18.5069028,219142.0,18.0,1.0,1.0,0,1,0,0,0,2700.0
129,55.0,6.0,3.0,52.2767664,20.9246353,90327.38888888888,47.0,1.0,0.0,1,1,0,0,0,2500.0
130,59.0,3.0,3.0,52.16143659999999,21.0735479,90327.38888888888,10.0,0.0,1.0,1,0,0,0,0,3300.0
131,50.0,7.0,2.0,52.4313932,16.9494664,93138.2,3.0,1.0,0.0,1,1,1,0,0,2599.0
132,48.0,3.0,3.0,51.1186085,17.0274709,115516.8,14.0,0.0,0.0,0,1,1,1,1,5500.0
133,46.0,0.0,2.0,50.0969824,19.8760292,141070.0,12.0,0.0,1.0,0,0,0,0,0,2600.0
134,23.0,0.0,1.0,52.8814838,20.6197948,8612.2,5.0,0.0,0.0,1,0,1,0,0,1500.0
135,38.0,1.0,2.0,50.2332302,19.0048679,261379.0,14.0,0.0,0.0,0,0,0,0,0,2300.0
136,27.0,6.0,1.0,52.2296756,21.0122287,90327.38888888888,53.0,0.0,0.0,1,1,1,0,0,1880.0
137,54.0,0.0,3.0,51.0720978,17.0472964,115516.8,11.0,1.0,0.0,1,1,0,0,0,2800.0
138,32.6,4.0,1.0,53.0179443,18.6214425,175852.0,14.0,1.0,0.0,0,1,0,0,0,1500.0
139,33.0,1.0,2.0,51.101719,17.046855,115516.8,5.0,0.0,0.0,1,1,0,0,0,4000.0
140,32.1,4.0,1.0,51.1328332,17.0656544,115516.8,15.0,1.0,0.0,1,1,1,1,1,2400.0
141,59.0,2.0,2.0,52.193539,21.0168247,90327.38888888888,73.0,1.0,0.0,1,1,0,0,0,3500.0
142,80.0,3.0,3.0,52.206864,20.954589,90327.38888888888,18.0,1.0,0.0,1,0,0,0,0,6000.0
143,14.0,0.0,3.0,50.2946515,19.1242353,180262.0,33.0,0.0,0.0,0,0,0,0,0,950.0
144,52.0,1.0,2.0,53.08325310000001,18.2258318,11612.1,18.0,0.0,0.0,0,1,0,0,0,1200.0
145,55.0,2.0,2.0,50.0512159,19.9284571,141070.0,16.0,1.0,0.0,0,0,1,1,0,1610.0
146,26.0,2.0,1.0,50.0784776,20.0050981,141070.0,6.0,1.0,0.0,1,1,0,0,0,1890.0
147,40.18,1.0,2.0,52.43675529999999,16.8505716,93138.2,1.0,1.0,1.0,1,0,1,0,0,2800.0
148,60.0,4.0,2.0,53.4330206,14.5483543,347786.0,12.0,0.0,0.0,0,1,1,0,0,2700.0
149,32.0,1.0,1.0,50.0527801,19.9405377,141070.0,2.0,0.0,1.0,1,0,1,0,0,3950.0
150,55.0,2.0,2.0,51.1458649,17.0355841,115516.8,15.0,1.0,0.0,0,0,1,1,0,1610.0
