,Powierzchnia,Czynsz,Liczba pokoi,Kaucja,Piętro,Rodzaj zabudowy,Dostępne od,balkon,ogród,taras,Obsługa zdalna,Stan wykończenia,Typ ogłoszeniodawcy,Wynajmę również studentom,Wyposażenie,Media,Ogrzewanie,Zabezpieczenia,Okna,Winda,Miejsce parkingowe,Rok budowy,Materiał budynku,Informacje dodatkowe,is_adverb,link,localisation,price,room_count,space_sm,representative,lat,lng,powiat,Ludnosc
3734,39.0,582.0,2.0,3000.0,8.0,apartamentowiec,,0,0,1,tak,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,miejskie,"system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",drewniane,tak,garaż/miejsce parkingowe,2011.0,cegła,piwnica,False,/pl/oferta/piekny-apartament-w-angel-wings-ID4gBzD,"Wrocław, Krzyki, Południe, ul. Walońska",3500.0,2.0,39.0,Oferta prywatna,51.1046791,17.0507465,Wrocław,115516.8
3735,76.0,350.0,3.0,-1.0,6.0,Rodzaj_zabudowy_inne,,1,0,0,,do zamieszkania,biuro nieruchomości ,,,,inne,,plastikowe,nie,garaż/miejsce parkingowe,2014.0,cegła,,False,/pl/oferta/mieszkanie-76-m-szczecin-ID4gWh2,"Szczecin, Śródmieście, Centrum",3700.0,3.0,76.0,Biuro nieruchomości,53.4330206,14.5483543,Szczecin,347786.0
3737,41.0,-1.0,2.0,3000.0,1.0,blok,,0,0,0,,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka",telewizja kablowa,gazowe,,plastikowe,nie,,2015.0,cegła,tylko dla niepalących,False,/pl/oferta/wynajme-mieszkanie-gniewkowo-ul-kilinskiego-15-ID4gWgm,"Gniewkowo, kujawsko-pomorskie",1350.0,2.0,41.0,Oferta prywatna,52.89463,18.40746,Inowrocławski,11378.307692307691
3738,44.0,460.0,2.0,2800.0,1.0,apartamentowiec,,1,0,0,,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka",internet,miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",plastikowe,tak,garaż/miejsce parkingowe,2019.0,Materiał_budynku_inne,"piwnica, oddzielna kuchnia",False,/pl/oferta/wynajme-mieszkanie-44m-2-pokoje-warszawa-bielany-ID4gWgc,"Warszawa, Bielany, ul. Josepha Conrada 24",2800.0,2.0,44.0,Oferta prywatna,52.277991,20.9235784,Warszawa,90327.38888888889
3739,80.0,1100.0,2.0,10000.0,2.0,apartamentowiec,2022-06-15,0,0,0,tak,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet, telefon",miejskie,"system alarmowy, teren zamknięty, domofon / wideofon, monitoring / ochrona",aluminiowe,tak,garaż/miejsce parkingowe,2001.0,cegła,"tylko dla niepalących, oddzielna kuchnia",False,/pl/oferta/umeblowany-piekny-apartament-stary-mokotow-garaz-ID30EFE,"Warszawa, Mokotów, Górny Mokotów, Tyniecka 27",4999.0,2.0,80.0,Oferta prywatna,52.1947468,21.0219301,Warszawa,90327.38888888889
3742,41.0,400.0,2.0,4000.0,4.0,apartamentowiec,2019-07-01,1,0,0,,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, pralka","telewizja kablowa, internet",miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",plastikowe,tak,garaż/miejsce parkingowe,2006.0,beton,tylko dla niepalących,False,/pl/oferta/mieszkanie-2-pokojowe-zaspa-ID3PY2U,"Gdańsk, Zaspa, ul. Stanisława Skarżyńskiego",2700.0,2.0,41.0,Oferta prywatna,54.3884351,18.6027835,Gdańsk,420796.0
3743,39.0,360.0,2.0,2600.0,1.0,blok,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,,,plastikowe,tak,,2022.0,Materiał_budynku_inne,tylko dla niepalących,False,/pl/oferta/nowe-mieszkanie-szpakowa-ID4gWfZ,"Kraków, Podgórze Duchackie, ul. Szpakowa",2600.0,2.0,39.0,Oferta prywatna,50.012524,19.9792393,Kraków,141070.0
3744,83.0,1000.0,3.0,6990.0,4.0,apartamentowiec,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",drewniane,tak,garaż/miejsce parkingowe,2013.0,cegła,"piwnica, tylko dla niepalących",False,/pl/oferta/apartament-przy-browarach-warszawskich-3-pokoje-ID2KJt3,"Warszawa, Wola, Wronia 45",6990.0,3.0,83.0,Oferta prywatna,52.2350382,20.9844946,Warszawa,90327.38888888889
3745,46.0,850.0,2.0,3000.0,5.0,blok,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","telewizja kablowa, internet",miejskie,,plastikowe,tak,,1976.0,wielka płyta,"piwnica, tylko dla niepalących, oddzielna kuchnia",False,/pl/oferta/mieszkanie-46m2-mokotow-ID4gWg9,"Warszawa, Mokotów, Stegny",2700.0,2.0,46.0,Oferta prywatna,52.1774008,21.0456164,Warszawa,90327.38888888889
3747,44.43,-1.0,2.0,3500.0,6.0,blok,2022-01-06,1,0,0,,do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",drewniane,tak,garaż/miejsce parkingowe,2008.0,Materiał_budynku_inne,piwnica,False,/pl/oferta/mieszkanie-44-5-m2-2-pokoje-metro-bemowo-ID3cw1u,"Warszawa, Bemowo, Górczewska 200b",3500.0,2.0,44.43,Oferta prywatna,52.2408246,20.9111968,Warszawa,90327.38888888889
