,Powierzchnia,Czynsz,Liczba pokoi,Kaucja,Piętro,Rodzaj zabudowy,Dostępne od,balkon,ogród,taras,Obsługa zdalna,Stan wykończenia,Typ ogłoszeniodawcy,Wynajmę również studentom,Wyposażenie,Media,Ogrzewanie,Zabezpieczenia,Okna,Winda,Miejsce parkingowe,Rok budowy,Materiał budynku,Informacje dodatkowe,is_adverb,link,localisation,price,room_count,space_sm,representative,lat,lng,powiat,Ludnosc
3661,39.0,350.0,1.0,4000.0,0.0,loft,,0,0,1,,,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",telewizja kablowa,,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",,tak,,2022.0,Materiał_budynku_inne,pom. użytkowe,False,/pl/oferta/mieszkanie-39m2-ID4gBwv,"Łódź, Śródmieście, Manhattan, ul. Targowa",2500.0,1.0,39.0,Oferta prywatna,51.75686140000001,19.4603426,Łódź,120202.8
3662,45.23,400.0,2.0,-1.0,1.0,blok,,1,0,0,,do zamieszkania,biuro nieruchomości ,,meble,"telewizja kablowa, internet",miejskie,,plastikowe,tak,garaż/miejsce parkingowe,2021.0,cegła,piwnica,False,/pl/oferta/nowe-mieszkanie-z-m-parking-dla-singla-pary-ID4gWAa,"Szczecin, Północ, Warszewo",2750.0,2.0,45.23,Biuro nieruchomości,53.4771917,14.5488654,Szczecin,347786.0
3663,50.0,-1.0,2.0,6400.0,1.0,kamienica,,0,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, piekarnik, kuchenka, pralka",,miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",plastikowe,nie,,1965.0,cegła,,False,/pl/oferta/srodmiescie-dwupokojowe-50m-okolica-zelaznej-ID3g9EM,"Warszawa, Wola, ul. Waliców",3200.0,2.0,50.0,Oferta prywatna,52.2355235,20.9921644,Warszawa,90327.38888888889
3665,25.0,400.0,1.0,3000.0,2.0,apartamentowiec,,1,0,1,,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet, telefon",miejskie,"domofon / wideofon, monitoring / ochrona",plastikowe,tak,,2020.0,żelbet,tylko dla niepalących,False,/pl/oferta/przytulna-kawalerka-blisko-metra-strzelecka-24-ID4f2St,"Warszawa, Praga-Północ, Stara Praga, ul. Strzelecka",2900.0,1.0,25.0,Oferta prywatna,52.2471608,21.0344245,Warszawa,90327.38888888889
3667,53.0,580.0,2.0,3500.0,2.0,blok,,1,0,0,,,biuro nieruchomości ,,,,,,plastikowe,tak,garaż/miejsce parkingowe,2001.0,cegła,,False,/pl/oferta/2-pokoje-balkon-miejsce-parkingowe-ch-skorosze-ID4gWzW,"Warszawa, Ursus",3200.0,2.0,53.0,Biuro nieruchomości,52.1951226,20.8837885,Warszawa,90327.38888888889
3668,64.26,-1.0,3.0,-1.0,5.0,blok,,1,0,0,,do zamieszkania,biuro nieruchomości ,,meble,internet,miejskie,,plastikowe,nie,,2018.0,cegła,pom. użytkowe,False,/pl/oferta/ul-slowackiego-3-pokojowe-do-wynajecia-ID4gO41,"Juliusza Słowackiego, Września, wielkopolskie",1900.0,3.0,64.26,Biuro nieruchomości,52.3245568,17.5859919,Wrzesiński,7466.8
3669,148.65,-1.0,3.0,50000.0,8.0,Rodzaj_zabudowy_inne,2022-11-01,0,0,1,,do zamieszkania,biuro nieruchomości ,,meble,,,,drewniane,nie,garaż/miejsce parkingowe,2022.0,Materiał_budynku_inne,,False,/pl/oferta/unikatowy-luksusowy-penthouse-z-ogrodem-na-dachu-ID4gqO3,"Warszawa, Śródmieście, Powiśle, Górnośląska",25000.0,3.0,148.65,Biuro nieruchomości,52.2251494,21.035899,Warszawa,90327.38888888889
3670,63.89,-1.0,2.0,-1.0,2.0,apartamentowiec,2022-05-15,0,0,0,,do zamieszkania,biuro nieruchomości ,,meble,,,,drewniane,tak,garaż/miejsce parkingowe,2010.0,Materiał_budynku_inne,,False,/pl/oferta/atrakcyjny-apartament-parking-2-lazienki-ID4gCfy,"Warszawa, Śródmieście, Powiśle, Wybrzeże Kościuszkowskie",6500.0,2.0,63.89,Biuro nieruchomości,52.2415315,21.0279594,Warszawa,90327.38888888889
3671,37.0,500.0,2.0,3500.0,4.0,blok,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",miejskie,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",plastikowe,tak,garaż/miejsce parkingowe,2019.0,cegła,,False,/pl/oferta/atrakcyjne-mieszkanie-w-olimpia-port-ID4gWzk,"Wrocław, Psie Pole, Swojczyce, Vespucciego",2900.0,2.0,37.0,Oferta prywatna,51.1075283,17.1240196,Wrocław,115516.8
3674,39.93,-1.0,2.0,-1.0,4.0,apartamentowiec,,1,0,0,,do zamieszkania,biuro nieruchomości ,,,,miejskie,,,nie,garaż/miejsce parkingowe,2022.0,Materiał_budynku_inne,,False,/pl/oferta/katowice-srodmiescie-ul-opolska-ID4godZ,"Katowice, Śródmieście, Opolska",2500.0,2.0,39.93,Biuro nieruchomości,50.2618855,19.0124779,Katowice,261379.0
3678,61.0,-1.0,2.0,4100.0,4.0,apartamentowiec,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",miejskie,"teren zamknięty, domofon / wideofon, monitoring / ochrona",plastikowe,tak,garaż/miejsce parkingowe,2006.0,Materiał_budynku_inne,,False,/pl/oferta/mieszkanie-do-wynajecia-ul-dolna-mokotow-ID4fLz9,"Warszawa, Mokotów, Dolny Mokotów",4100.0,2.0,61.0,Oferta prywatna,52.2005721,21.029504,Warszawa,90327.38888888889
3680,56.0,1.0,2.0,2900.0,2.0,blok,2022-07-01,1,0,0,tak,do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","telewizja kablowa, internet",miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",plastikowe,nie,garaż/miejsce parkingowe,2000.0,cegła,oddzielna kuchnia,False,/pl/oferta/mieszkanie-56m-bemowo-ul-marynin-ID43jSp,"Warszawa, Bemowo, ul. Marynin",2900.0,2.0,56.0,Oferta prywatna,52.2457753,20.9245477,Warszawa,90327.38888888889
3683,44.0,650.0,2.0,3500.0,5.0,blok,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",,,"teren zamknięty, domofon / wideofon, monitoring / ochrona",,tak,,2009.0,Materiał_budynku_inne,tylko dla niepalących,False,/pl/oferta/wynajem-mieszkanie-czluchowska-ID4cYc7,"Warszawa, Wola, Ulrychów, ul. Człuchowska",2600.0,2.0,44.0,Oferta prywatna,52.2302615,20.9258302,Warszawa,90327.38888888889
3685,38.0,220.0,2.0,3000.0,4.0,apartamentowiec,,1,0,0,tak,do zamieszkania,biuro nieruchomości ,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","telewizja kablowa, internet, telefon",miejskie,"domofon / wideofon, monitoring / ochrona",plastikowe,tak,,2022.0,cegła,,False,/pl/oferta/nowe-2-pokojowe-mieszkanie-z-balkonem-w-centrum-ID4gWx6,"Szczecin, Śródmieście",2500.0,2.0,38.0,Biuro nieruchomości,53.420071,14.5859245,Szczecin,347786.0
3688,50.0,-1.0,2.0,-1.0,4.0,blok,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","telewizja kablowa, internet",miejskie,"drzwi / okna antywłamaniowe, domofon / wideofon",plastikowe,tak,garaż/miejsce parkingowe,1980.0,Materiał_budynku_inne,"tylko dla niepalących, oddzielna kuchnia",False,/pl/oferta/wynajme-2-pokojowe-na-radogoszczu-zgierska-240-ID4gWxj,"Łódź, Bałuty, Radogoszcz, ul. Zgierska",1800.0,2.0,50.0,Oferta prywatna,51.8077189,19.4391243,Łódź,120202.8
3689,130.0,-1.0,3.0,-1.0,6.0,Rodzaj_zabudowy_inne,,1,0,0,,,biuro nieruchomości ,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",,,,drewniane,nie,garaż/miejsce parkingowe,2008.0,Materiał_budynku_inne,dwupoziomowe,False,/pl/oferta/dwupoziomowe-klimatyzowane-mieszkanie-130-m2-ID4gFQ1,"Warszawa, Wola, Szulborska",7500.0,3.0,130.0,Biuro nieruchomości,52.230907,20.9346495,Warszawa,90327.38888888889
3690,40.0,550.0,2.0,6000.0,5.0,apartamentowiec,,1,0,1,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",drewniane,tak,garaż/miejsce parkingowe,2010.0,cegła,"piwnica, tylko dla niepalących, pom. użytkowe",False,/pl/oferta/luksusowe-mieszkanie-40m2-rondo-verona-ID4gBvs,"Wrocław, Krzyki, ul. Powstańców Śląskich",3700.0,2.0,40.0,Oferta prywatna,51.0893253,17.0159794,Wrocław,115516.8
3691,56.0,-1.0,3.0,-1.0,2.0,Rodzaj_zabudowy_inne,,0,0,0,,do zamieszkania,biuro nieruchomości ,,meble,,inne,,,tak,garaż/miejsce parkingowe,2018.0,Materiał_budynku_inne,,False,/pl/oferta/apartament-do-wynajecia-klodzko-wysoki-standard-ID4gWvC,"Letnia, Kłodzko, dolnośląskie",2200.0,3.0,56.0,Biuro nieruchomości,50.4282922,16.639891,Kłodzki,7340.45
3692,23.0,360.0,1.0,4000.0,5.0,blok,,1,0,0,,do zamieszkania,biuro nieruchomości ,,"zmywarka, lodówka, meble, kuchenka, telewizor","telewizja kablowa, internet",miejskie,"drzwi / okna antywłamaniowe, domofon / wideofon",plastikowe,tak,,2017.0,Materiał_budynku_inne,,False,/pl/oferta/komfortowa-kawalerka-z-balkonem-krzyki-klecina-ID4gWxf,"Wrocław, Krzyki, Klecina, ul. Przyjaźni",2290.0,1.0,23.0,Biuro nieruchomości,51.0670458,16.9961603,Wrocław,115516.8
3696,42.0,400.0,2.0,4000.0,5.0,apartamentowiec,,1,0,0,tak,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",drewniane,tak,,2021.0,cegła,tylko dla niepalących,False,/pl/oferta/2-pok-42m2-pierwszy-najem-wlasciciel-ruczaj-ID4eIEs,"Kraków, Dębniki, ul. Karola Bunscha",3500.0,2.0,42.0,Oferta prywatna,50.0125711,19.883734,Kraków,141070.0
3697,26.0,220.0,1.0,2500.0,3.0,apartamentowiec,,1,0,1,,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet, telefon",miejskie,"drzwi / okna antywłamaniowe, domofon / wideofon",plastikowe,tak,garaż/miejsce parkingowe,2020.0,silikat,"piwnica, tylko dla niepalących, pom. użytkowe",False,/pl/oferta/mieszkanie-do-wynajecia-gorczyn-kawalerka-ID4gWe9,"Gorzów Wielkopolski, Górczyn",1500.0,1.0,26.0,Oferta prywatna,52.76207609999999,15.2551699,Gorzów wielkopolski,109780.0
3702,83.0,-1.0,2.0,-1.0,4.0,apartamentowiec,,0,0,0,,,biuro nieruchomości ,,,,,,,nie,,2001.0,Materiał_budynku_inne,,False,/pl/oferta/2-pokojowe-83m-elektoralna-srodmiescie-ID4gWdV,"Warszawa, Śródmieście, ul. Elektoralna",6000.0,2.0,83.0,Biuro nieruchomości,52.2402148,20.9975821,Warszawa,90327.38888888889
3703,80.0,-1.0,3.0,7000.0,3.0,apartamentowiec,,0,0,1,,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",miejskie,"system alarmowy, teren zamknięty, domofon / wideofon, monitoring / ochrona",plastikowe,tak,garaż/miejsce parkingowe,2005.0,cegła,"tylko dla niepalących, oddzielna kuchnia",False,/pl/oferta/apartament-przy-parku-szczesliwickim-ID4gWeG,"Warszawa, Ochota, ul. Drawska",6000.0,3.0,80.0,Oferta prywatna,52.206864,20.954589,Warszawa,90327.38888888889
3704,44.0,490.0,2.0,3000.0,3.0,blok,,1,0,0,,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",miejskie,"teren zamknięty, domofon / wideofon",plastikowe,nie,,2002.0,cegła,"piwnica, tylko dla niepalących, oddzielna kuchnia",False,/pl/oferta/mieszkanie-44-m2-na-warszewie-ID4gWd8,"Szczecin, Północ, Warszewo, ul. Duńska",2400.0,2.0,44.0,Oferta prywatna,53.4629444,14.5420709,Szczecin,347786.0
3705,42.0,450.0,2.0,4000.0,1.0,apartamentowiec,,0,0,1,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","telewizja kablowa, internet, telefon",miejskie,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",plastikowe,tak,,2021.0,beton komórkowy,"piwnica, pom. użytkowe",False,/pl/oferta/2-pok-apartament-gd-ul-powstancow-warszawskich-ID4gWdO,"Gdańsk, Aniołki, os. Perspektywa",3200.0,2.0,42.0,Oferta prywatna,54.36329929999999,18.631716,Gdańsk,420796.0
3706,25.7,370.0,1.0,2000.0,2.0,blok,,0,0,0,,do zamieszkania,biuro nieruchomości ,,,,miejskie,,plastikowe,tak,,1980.0,Materiał_budynku_inne,,False,/pl/oferta/kawalerka-na-wynajem-wysoki-parter-ID4gyjS,"Sosnowiec, Środula",1200.0,1.0,25.7,Biuro nieruchomości,50.2937411,19.1546089,Sosnowiec,180262.0
3708,36.0,400.0,1.0,2200.0,4.0,blok,,0,0,0,,do zamieszkania,prywatny,tak,"lodówka, meble, piekarnik, kuchenka, pralka",,,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",,nie,,2001.0,Materiał_budynku_inne,"tylko dla niepalących, oddzielna kuchnia",False,/pl/oferta/przytulna-kawalerka-36-m2-ul-grzymalitow-ID4gWd3,"Warszawa, Białołęka",1800.0,1.0,36.0,Oferta prywatna,52.32898789999999,21.0076793,Warszawa,90327.38888888889
3709,53.25,600.0,2.0,3600.0,4.0,apartamentowiec,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",,miejskie,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",drewniane,tak,,2012.0,Materiał_budynku_inne,oddzielna kuchnia,False,/pl/oferta/mieszkanie-sloneczne-dwupokojowe-w-centrum-miasta-ID4gWd7,"Wrocław, Krzyki, ul. Walońska",3600.0,2.0,53.25,Oferta prywatna,51.1046791,17.0507465,Wrocław,115516.8
3710,115.0,1000.0,4.0,15000.0,3.0,apartamentowiec,,1,0,1,tak,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet, telefon",miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe",drewniane,tak,garaż/miejsce parkingowe,2015.0,beton,"piwnica, tylko dla niepalących, oddzielna kuchnia, pom. użytkowe",False,/pl/oferta/luksusowy-penthouse-115m2-2-tarasy-50m2-wilanow-ID4gE3T,"Warszawa, Wilanów, ul. Obornicka",7900.0,4.0,115.0,Oferta prywatna,52.1696426,21.0840741,Warszawa,90327.38888888889
3712,40.0,500.0,1.0,5000.0,4.0,apartamentowiec,,1,0,1,,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",drewniane,tak,,2010.0,cegła,tylko dla niepalących,False,/pl/oferta/mieszkanie-40m2-rondo-verona-ID4gBw4,"Wrocław, Krzyki, ul. Powstańców Śląskich",3200.0,1.0,40.0,Oferta prywatna,51.0893253,17.0159794,Wrocław,115516.8
3713,64.0,700.0,3.0,4500.0,10.0,blok,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","telewizja kablowa, internet",miejskie,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",drewniane,tak,garaż/miejsce parkingowe,2012.0,silikat,tylko dla niepalących,False,/pl/oferta/do-wynajecia-3-pokoje-64m2-zarezerwowane-ID4gWd2,"Warszawa, Ursynów, al. Aleja Komisji Edukacji Narodowej",3950.0,3.0,64.0,Oferta prywatna,52.1475204,21.0489998,Warszawa,90327.38888888889
3714,50.0,1.0,2.0,2400.0,4.0,blok,,0,0,1,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",miejskie,"domofon / wideofon, rolety antywłamaniowe",plastikowe,tak,,2018.0,Materiał_budynku_inne,,False,/pl/oferta/ladny-duzy-apartament-z-tarasem-nowe-osiedle-ID46bhE,"Gliwice, Stare Gliwice, ul. Szafirowa",2400.0,2.0,50.0,Oferta prywatna,50.3123523,18.6170862,Gliwice,160308.0
3715,20.0,-1.0,1.0,-1.0,10.0,blok,,1,0,0,,do zamieszkania,biuro nieruchomości ,,"lodówka, piekarnik, kuchenka, telewizor, pralka",internet,miejskie,,plastikowe,tak,,1977.0,wielka płyta,,False,/pl/oferta/ulica-grabiszynska-lotos-ID4gWcC,"Wrocław, Stare Miasto",1600.0,1.0,20.0,Biuro nieruchomości,51.1087443,17.0143368,Wrocław,115516.8
3717,26.0,300.0,1.0,3000.0,1.0,blok,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",,miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",plastikowe,tak,,2022.0,Materiał_budynku_inne,tylko dla niepalących,False,/pl/oferta/kawalerka-miej-pos-na-wynajem-przewoz-plaszow-ID4gPFb,"Kraków, Podgórze, Płaszów, ul. Przewóz",2600.0,1.0,26.0,Oferta prywatna,50.042421,19.9907428,Kraków,141070.0
3718,36.84,380.0,2.0,-1.0,3.0,Rodzaj_zabudowy_inne,2022-06-01,1,0,0,,do zamieszkania,biuro nieruchomości ,,meble,,miejskie,monitoring / ochrona,,tak,garaż/miejsce parkingowe,2004.0,cegła,"piwnica, pom. użytkowe",False,/pl/oferta/2-pokoje-balkon-miejsce-park-komorka-lokat-ID4gWd0,"Kraków, Nowa Huta, Czyżyny, os. Dywizjonu 303",1600.0,2.0,36.84,Biuro nieruchomości,50.0827542,20.0032094,Kraków,141070.0
3720,41.0,440.0,2.0,3000.0,2.0,blok,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",,miejskie,"drzwi / okna antywłamaniowe, domofon / wideofon",plastikowe,tak,garaż/miejsce parkingowe,2019.0,pustak,tylko dla niepalących,False,/pl/oferta/mieszkanie-2-pokojowe-parking-podziemny-cieple-ID44RoV,"Wrocław, Krzyki, Jagodno",2400.0,2.0,41.0,Oferta prywatna,51.0516668,17.0576881,Wrocław,115516.8
3725,46.0,400.0,2.0,6000.0,1.0,blok,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet, telefon",miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",plastikowe,tak,garaż/miejsce parkingowe,2022.0,cegła,"piwnica, tylko dla niepalących",False,/pl/oferta/piekne-nowiutkie-mieszkanie-przy-gdanskiej-marinie-ID4gMzv,"Gdańsk, Śródmieście",3800.0,2.0,46.0,Oferta prywatna,54.3480121,18.6564851,Gdańsk,420796.0
3726,61.0,900.0,3.0,4900.0,3.0,apartamentowiec,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,miejskie,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",drewniane,tak,garaż/miejsce parkingowe,2020.0,inne,"tylko dla niepalących, pom. użytkowe",False,/pl/oferta/apartament-3-pokojowy-gdansk-wrzeszcz-ID48EiJ,"Gdańsk, Wrzeszcz, Zajezdnia Wrzeszcz",4000.0,3.0,61.0,Oferta prywatna,54.3933569,18.6194322,Gdańsk,420796.0
3728,40.3,-1.0,2.0,3500.0,2.0,Rodzaj_zabudowy_inne,,1,0,0,,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, pralka",,,domofon / wideofon,,nie,garaż/miejsce parkingowe,2000.0,Materiał_budynku_inne,piwnica,False,/pl/oferta/rowna-9-m-szwedzka-40-3m2-garaz-bezposrednio-ID4gWh8,"Warszawa, Praga-Północ, ul. Równa 9",3500.0,2.0,40.3,Oferta prywatna,52.26089640000001,21.0442814,Warszawa,90327.38888888889
3729,57.0,300.0,2.0,5000.0,1.0,blok,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",gazowe,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",plastikowe,tak,garaż/miejsce parkingowe,2008.0,cegła,tylko dla niepalących,False,/pl/oferta/wynajme-komfortowe-mieszkanie-w-kielcach-z-garazem-ID4gWd6,"Kielce, Centrum, ul. Wojska Polskiego",1950.0,2.0,57.0,Oferta prywatna,50.8494459,20.6482726,Kielecki,7433.5
3730,45.0,400.0,2.0,2500.0,3.0,blok,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,miejskie,domofon / wideofon,plastikowe,tak,garaż/miejsce parkingowe,2019.0,cegła,"piwnica, tylko dla niepalących",False,/pl/oferta/wynajme-mieszkanie-2-pokojowe-45m2-ID4gWhm,"Olsztyn, warmińsko-mazurskie",1750.0,2.0,45.0,Oferta prywatna,53.778422,20.4801193,Olsztyn,154339.0
3732,60.1,600.0,3.0,3500.0,1.0,blok,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, piekarnik, kuchenka, pralka",,miejskie,domofon / wideofon,plastikowe,tak,garaż/miejsce parkingowe,1981.0,wielka płyta,"piwnica, oddzielna kuchnia",False,/pl/oferta/wynajme-3-pokojowe-mieszkanie-bemowo-ID4gPMy,"Warszawa, Bemowo, ul. Secemińska",3500.0,3.0,60.1,Oferta prywatna,52.2492124,20.9144934,Warszawa,90327.38888888889
3733,43.0,450.0,2.0,3000.0,1.0,blok,,1,0,1,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,gazowe,"drzwi / okna antywłamaniowe, domofon / wideofon",plastikowe,nie,garaż/miejsce parkingowe,2021.0,pustak,,False,/pl/oferta/mieszkanie-43m-chelmonskiego-taras-klimatyzacja-ID4gWgv,"Kraków, Bronowice, Bronowice Małe, ul. Józefa Chełmońskiego",2700.0,2.0,43.0,Oferta prywatna,50.0960902,19.8962645,Kraków,141070.0
